rank,place_name_datalab,place_name_visitjeju,visitjeju_id,category_datalab,category_visitjeju,address_datalab,address_visitjeju,latitude,longitude,period_start,period_end,selected_mvp,weekday_open,weekday_close,weekend_open,weekend_close,break_start,break_end,operating_data_status,operating_source
1,서귀포매일올레시장,서귀포매일올레시장,CONT_000000000500731,쇼핑,쇼핑,제주특별자치도 서귀포시,서귀포시 중앙로 62번길 18,33.24828,126.56415,202507,202507,Y,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
2,제주국제공항,제주국제공항,CNTS_000000000019568,기타관광,관광지,제주특별자치도 제주시,제주특별자치도 제주시 공항로 2,33.5063344,126.4952613,202507,202507,Y,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
3,동문재래시장,동문재래시장,CONT_000000000500745,쇼핑,쇼핑,제주특별자치도 제주시,제주특별자치도 제주시 관덕로14길 20,33.5116033,126.5260192,202507,202507,Y,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
4,성산일출봉,성산일출봉,CONT_000000000500349,자연관광,관광지,제주특별자치도 서귀포시,제주특별자치도 서귀포시 성산읍 일출로 284-12,33.462147,126.936424,202507,202507,Y,05:00,19:00,05:00,19:00,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
5,함덕해수욕장,함덕해수욕장,CONT_000000000500693,자연관광,관광지,제주특별자치도 제주시,제주특별자치도 제주시 조천읍 조함해안로 525,33.5427261,126.6690893,202507,202507,Y,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
6,협재해수욕장,협재해수욕장,CONT_000000000500697,자연관광,관광지,제주특별자치도 제주시,제주 제주시 한림읍 협재리 2497-1,33.393845,126.239716,202507,202507,Y,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
7,오설록티뮤지엄,오설록 티 뮤지엄,CONT_000000000500457,문화관광,관광지,제주특별자치도 서귀포시,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.30601,126.2901309,202507,202507,Y,09:00,18:00,09:00,18:00,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
8,섭지코지,섭지코지,CONT_000000000500343,기타관광,관광지,제주특별자치도 서귀포시,제주특별자치도 서귀포시 성산읍 섭지코지로 262,33.4236948,126.9296022,202507,202507,Y,00:00,00:00,00:00,00:00,,,확인 필요,VISIT JEJU 관광콘텐츠_20260303
9,주상절리대,대포해안주상절리대,CNTS_000000000020476,기타관광,관광지,제주특별자치도 서귀포시,제주특별자치도 서귀포시 이어도로 36-24,33.23834,126.42586,202507,202507,Y,09:00,17:30,09:00,17:30,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
10,용머리해안,용머리해안,CONT_000000000500471,기타관광,관광지,제주특별자치도 서귀포시,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.2334272,126.313741,202507,202507,Y,09:00,17:00,09:00,17:00,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
